localizacao;DataHora;CF;CC;link;Dia;Hora;Valor
Coffee Shack;06/01/2014 12:00;L6417;C7117;credit;6 - Segunda-feira;12;52
Bean There Done That;06/01/2014 12:00;L7783;C1415;both;6 - Segunda-feira;12;10
Bean There Done That;06/01/2014 12:00;L3191;C9635;both;6 - Segunda-feira;12;16
Brewed Awakenings;06/01/2014 12:00;L4164;C7688;both;6 - Segunda-feira;12;6
Jack's Magical Beans;06/01/2014 12:00;L6267;C6899;both;6 - Segunda-feira;12;11
Brewed Awakenings;06/01/2014 12:00;L5947;C2540;both;6 - Segunda-feira;12;17
Bean There Done That;06/01/2014 12:00;L3014;C1877;both;6 - Segunda-feira;12;9
Brewed Awakenings;06/01/2014 12:00;L2070;C8332;both;6 - Segunda-feira;12;4
Bean There Done That;06/01/2014 12:00;L4149;C1321;both;6 - Segunda-feira;12;5
Bean There Done That;06/01/2014 12:00;L3366;C6895;both;6 - Segunda-feira;12;4
Jack's Magical Beans;06/01/2014 12:00;L3288;C1286;both;6 - Segunda-feira;12;19
Jack's Magical Beans;06/01/2014 12:00;L5224;C8156;credit;6 - Segunda-feira;12;28
Jack's Magical Beans;06/01/2014 12:00;L6886;C2463;both;6 - Segunda-feira;12;18
Abila Airport;06/01/2014 12:16;L2769;C8642;credit;6 - Segunda-feira;12;1874
Katerina’s Café;06/01/2014 12:56;L2070;C8332;credit;6 - Segunda-feira;12;14
Hippokampos;06/01/2014 12:57;L5224;C8156;credit;6 - Segunda-feira;12;9
Abila Zacharo;06/01/2014 13:18;L9018;C2418;credit;6 - Segunda-feira;13;107
Gelatogalore;06/01/2014 13:19;L1682;C7253;both;6 - Segunda-feira;13;13
Kalami Kafenion;06/01/2014 13:19;L2490;C3484;credit;6 - Segunda-feira;13;70
Hippokampos;06/01/2014 13:20;L6267;C6899;both;6 - Segunda-feira;13;34
Hippokampos;06/01/2014 13:21;L5777;C9551;credit;6 - Segunda-feira;13;28
Ouzeri Elian;06/01/2014 13:22;L5947;C2540;both;6 - Segunda-feira;13;39
Hippokampos;06/01/2014 13:23;L8566;C4795;both;6 - Segunda-feira;13;13
Guy's Gyros;06/01/2014 13:24;L7783;C1415;both;6 - Segunda-feira;13;15
Abila Zacharo;06/01/2014 13:27;L4164;C7688;both;6 - Segunda-feira;13;30
Abila Zacharo;06/01/2014 13:27;L3288;C1286;both;6 - Segunda-feira;13;50
Katerina’s Café;06/01/2014 13:28;L6110;C8411;both;6 - Segunda-feira;13;34
Kalami Kafenion;06/01/2014 13:28;L4034;C5407;both;6 - Segunda-feira;13;9
Guy's Gyros;06/01/2014 13:30;L3800;C7384;both;6 - Segunda-feira;13;17
Hippokampos;06/01/2014 13:35;L1107;C2681;both;6 - Segunda-feira;13;37
Abila Zacharo;06/01/2014 13:35;L9254;C7354;credit;6 - Segunda-feira;13;92
Ouzeri Elian;06/01/2014 13:37;L8148;C6816;both;6 - Segunda-feira;13;21
Guy's Gyros;06/01/2014 13:39;L8012;C1310;both;6 - Segunda-feira;13;11
Gelatogalore;06/01/2014 13:41;L6119;C7889;both;6 - Segunda-feira;13;23
Ouzeri Elian;06/01/2014 13:42;L3366;C6895;both;6 - Segunda-feira;13;20
Guy's Gyros;06/01/2014 13:46;L3191;C9635;both;6 - Segunda-feira;13;31
Katerina’s Café;06/01/2014 13:46;L6267;C6899;both;6 - Segunda-feira;13;19
Guy's Gyros;06/01/2014 13:46;L6886;C2463;credit;6 - Segunda-feira;13;100
Kalami Kafenion;06/01/2014 13:47;L4149;C1321;credit;6 - Segunda-feira;13;22
Ouzeri Elian;06/01/2014 13:48;L2247;C5368;both;6 - Segunda-feira;13;21
Ouzeri Elian;06/01/2014 13:48;L3295;C5921;both;6 - Segunda-feira;13;31
Katerina’s Café;06/01/2014 13:50;L4424;C1874;both;6 - Segunda-feira;13;14
Katerina’s Café;06/01/2014 13:50;L5553;C9617;both;6 - Segunda-feira;13;33
Kalami Kafenion;06/01/2014 13:52;L2169;C4434;both;6 - Segunda-feira;13;22
Gelatogalore;06/01/2014 13:52;L7814;C3492;both;6 - Segunda-feira;13;36
Katerina’s Café;06/01/2014 13:53;L9637;C2142;credit;6 - Segunda-feira;13;37
Abila Zacharo;06/01/2014 13:54;L3259;C9405;both;6 - Segunda-feira;13;23
Hippokampos;06/01/2014 13:57;L3014;C1877;both;6 - Segunda-feira;13;9
Hippokampos;06/01/2014 13:58;L2343;C8202;both;6 - Segunda-feira;13;38
Katerina’s Café;06/01/2014 13:59;L1485;C3853;both;6 - Segunda-feira;13;39
Kalami Kafenion;06/01/2014 14:00;L6417;C7117;both;6 - Segunda-feira;14;13
Gelatogalore;06/01/2014 14:00;L5259;C7819;both;6 - Segunda-feira;14;23
Hippokampos;06/01/2014 14:04;L9406;C4948;both;6 - Segunda-feira;14;31
Abila Zacharo;06/01/2014 14:05;L6544;C7108;credit;6 - Segunda-feira;14;78
Kalami Kafenion;06/01/2014 14:15;L8328;C8129;both;6 - Segunda-feira;14;27
Katerina’s Café;06/01/2014 14:17;L9363;C6901;both;6 - Segunda-feira;14;20
Abila Airport;06/01/2014 15:14;L4063;C9220;both;6 - Segunda-feira;15;777
Abila Airport;06/01/2014 15:39;L2769;C8642;both;6 - Segunda-feira;15;612
U-Pump;06/01/2014 17:28;L2490;C3484;both;6 - Segunda-feira;17;60
Katerina’s Café;06/01/2014 18:56;L6110;C8411;credit;6 - Segunda-feira;18;79
Katerina’s Café;06/01/2014 19:08;L8328;C8129;both;6 - Segunda-feira;19;26
Guy's Gyros;06/01/2014 19:18;L3800;C7384;both;6 - Segunda-feira;19;39
Frydos Autosupply n' More;06/01/2014 19:50;L3288;C1286;credit;6 - Segunda-feira;19;274
Katerina’s Café;06/01/2014 20:07;L1682;C7253;both;6 - Segunda-feira;20;24
Katerina’s Café;06/01/2014 20:08;L4424;C1874;both;6 - Segunda-feira;20;12
Guy's Gyros;06/01/2014 20:09;L9363;C6901;both;6 - Segunda-feira;20;12
Frydos Autosupply n' More;06/01/2014 20:12;L2343;C8202;both;6 - Segunda-feira;20;81
Guy's Gyros;06/01/2014 20:13;L2490;C3484;both;6 - Segunda-feira;20;23
Guy's Gyros;06/01/2014 20:15;L8148;C6816;credit;6 - Segunda-feira;20;118
Frydos Autosupply n' More;06/01/2014 20:15;L2247;C5368;both;6 - Segunda-feira;20;176
Katerina’s Café;06/01/2014 20:19;L9018;C2418;credit;6 - Segunda-feira;20;22
Hippokampos;06/01/2014 20:20;L4149;C1321;both;6 - Segunda-feira;20;35
Guy's Gyros;06/01/2014 20:24;L5259;C7819;both;6 - Segunda-feira;20;29
Albert's Fine Clothing;06/01/2014 20:26;L5777;C9551;both;6 - Segunda-feira;20;277
Guy's Gyros;06/01/2014 20:28;L6544;C7108;credit;6 - Segunda-feira;20;95
Hippokampos;06/01/2014 20:29;L3366;C6895;credit;6 - Segunda-feira;20;86
Katerina’s Café;06/01/2014 20:29;L3259;C9405;both;6 - Segunda-feira;20;18
Katerina’s Café;06/01/2014 20:30;L6267;C6899;both;6 - Segunda-feira;20;28
Katerina’s Café;06/01/2014 20:33;L3295;C5921;both;6 - Segunda-feira;20;16
Hippokampos;06/01/2014 20:36;L3014;C1877;both;6 - Segunda-feira;20;27
Hippokampos;06/01/2014 20:46;L6417;C7117;both;6 - Segunda-feira;20;24
Hippokampos;06/01/2014 20:46;L7783;C1415;both;6 - Segunda-feira;20;21
Frydos Autosupply n' More;06/01/2014 20:47;L4034;C5407;credit;6 - Segunda-feira;20;149
Shoppers' Delight;06/01/2014 20:49;L9254;C7354;both;6 - Segunda-feira;20;294
Hippokampos;06/01/2014 20:52;L4164;C7688;both;6 - Segunda-feira;20;17
Katerina’s Café;06/01/2014 20:59;L7814;C3492;both;6 - Segunda-feira;20;26
Katerina’s Café;06/01/2014 21:03;L5553;C9617;credit;6 - Segunda-feira;21;11
Albert's Fine Clothing;06/01/2014 21:03;L2169;C4434;both;6 - Segunda-feira;21;122
Hippokampos;06/01/2014 21:11;L5224;C8156;credit;6 - Segunda-feira;21;28
Katerina’s Café;06/01/2014 21:12;L9406;C4948;both;6 - Segunda-feira;21;27
Frydos Autosupply n' More;06/01/2014 21:23;L9637;C2142;both;6 - Segunda-feira;21;197
Frydos Autosupply n' More;06/01/2014 21:32;L8012;C1310;credit;6 - Segunda-feira;21;315
Hippokampos;06/01/2014 21:52;L2070;C8332;both;6 - Segunda-feira;21;21
Brew've Been Served;07/01/2014 07:27;L3800;C7384;both;7 - Terça-feir;7;5
Brew've Been Served;07/01/2014 07:31;L2247;C5368;both;7 - Terça-feir;7;13
Brew've Been Served;07/01/2014 07:33;L8566;C4795;credit;7 - Terça-feir;7;7
Hallowed Grounds;07/01/2014 07:35;L6119;C7889;both;7 - Terça-feir;7;14
Hallowed Grounds;07/01/2014 07:37;L8328;C8129;both;7 - Terça-feir;7;9
Hallowed Grounds;07/01/2014 07:41;L4424;C1874;credit;7 - Terça-feir;7;20
Brew've Been Served;07/01/2014 07:45;L8148;C6816;credit;7 - Terça-feir;7;20
Hallowed Grounds;07/01/2014 07:46;L5777;C9551;credit;7 - Terça-feir;7;84
Coffee Cameleon;07/01/2014 07:46;L3295;C5921;both;7 - Terça-feir;7;9
Hallowed Grounds;07/01/2014 07:47;L8012;C1310;both;7 - Terça-feir;7;8
Hallowed Grounds;07/01/2014 07:48;L6544;C7108;both;7 - Terça-feir;7;19
Coffee Cameleon;07/01/2014 07:49;L1682;C7253;credit;7 - Terça-feir;7;28
Brew've Been Served;07/01/2014 07:50;L4034;C5407;both;7 - Terça-feir;7;4
Hallowed Grounds;07/01/2014 07:50;L7814;C3492;both;7 - Terça-feir;7;10
Brew've Been Served;07/01/2014 07:52;L2169;C4434;both;7 - Terça-feir;7;3
Brew've Been Served;07/01/2014 07:54;L3288;C1286;both;7 - Terça-feir;7;12
Brew've Been Served;07/01/2014 07:55;L2490;C3484;credit;7 - Terça-feir;7;69
Brew've Been Served;07/01/2014 07:56;L7291;C9683;credit;7 - Terça-feir;7;99
Hallowed Grounds;07/01/2014 07:57;L6267;C6899;both;7 - Terça-feir;7;10
Brew've Been Served;07/01/2014 07:58;L2343;C8202;both;7 - Terça-feir;7;17
Brew've Been Served;07/01/2014 08:00;L9406;C4948;both;7 - Terça-feir;8;12
Coffee Cameleon;07/01/2014 08:00;L9637;C2142;both;7 - Terça-feir;8;12
Coffee Cameleon;07/01/2014 08:01;L9018;C2418;credit;7 - Terça-feir;8;52
Hallowed Grounds;07/01/2014 08:01;L5553;C9617;both;7 - Terça-feir;8;10
Hallowed Grounds;07/01/2014 08:01;L1107;C2681;credit;7 - Terça-feir;8;68
Brew've Been Served;07/01/2014 08:02;L3259;C9405;both;7 - Terça-feir;8;14
Brew've Been Served;07/01/2014 08:06;L5259;C7819;credit;7 - Terça-feir;8;3
Brew've Been Served;07/01/2014 08:09;L6110;C8411;both;7 - Terça-feir;8;16
Brew've Been Served;07/01/2014 08:18;L9363;C6901;credit;7 - Terça-feir;8;48
Abila Airport;07/01/2014 09:17;L7761;C3506;both;7 - Terça-feir;9;3840
Stewart and Sons Fabrication;07/01/2014 10:05;L7761;C3506;both;7 - Terça-feir;10;1201
Nationwide Refinery;07/01/2014 10:11;L9633;C9735;both;7 - Terça-feir;10;1347
Stewart and Sons Fabrication;07/01/2014 11:31;L9633;C9735;credit;7 - Terça-feir;11;1843
Nationwide Refinery;07/01/2014 11:39;L5756;C7792;both;7 - Terça-feir;11;1563
Coffee Shack;07/01/2014 12:00;L6417;C7117;both;7 - Terça-feir;12;17
Bean There Done That;07/01/2014 12:00;L7783;C1415;credit;7 - Terça-feir;12;51
Brewed Awakenings;07/01/2014 12:00;L4164;C7688;credit;7 - Terça-feir;12;12
Jack's Magical Beans;07/01/2014 12:00;L6267;C6899;credit;7 - Terça-feir;12;24
Brewed Awakenings;07/01/2014 12:00;L1485;C3853;credit;7 - Terça-feir;12;65
Brewed Awakenings;07/01/2014 12:00;L5947;C2540;credit;7 - Terça-feir;12;72
Bean There Done That;07/01/2014 12:00;L3014;C1877;credit;7 - Terça-feir;12;54
Brewed Awakenings;07/01/2014 12:00;L2070;C8332;both;7 - Terça-feir;12;7
Bean There Done That;07/01/2014 12:00;L4149;C1321;both;7 - Terça-feir;12;8
Bean There Done That;07/01/2014 12:00;L3366;C6895;credit;7 - Terça-feir;12;46
Jack's Magical Beans;07/01/2014 12:00;L3288;C1286;both;7 - Terça-feir;12;19
Jack's Magical Beans;07/01/2014 12:00;L5224;C8156;both;7 - Terça-feir;12;20
Jack's Magical Beans;07/01/2014 12:00;L6886;C2463;credit;7 - Terça-feir;12;70
Nationwide Refinery;07/01/2014 12:02;L7761;C3506;credit;7 - Terça-feir;12;1071
Abila Airport;07/01/2014 12:29;L2769;C8642;both;7 - Terça-feir;12;125
Katerina’s Café;07/01/2014 13:08;L5756;C7792;credit;7 - Terça-feir;13;59
Guy's Gyros;07/01/2014 13:13;L5224;C8156;both;7 - Terça-feir;13;30
Abila Zacharo;07/01/2014 13:20;L7783;C1415;both;7 - Terça-feir;13;14
Gelatogalore;07/01/2014 13:20;L2070;C8332;both;7 - Terça-feir;13;35
Guy's Gyros;07/01/2014 13:20;L9254;C7354;both;7 - Terça-feir;13;39
Kalami Kafenion;07/01/2014 13:24;L3288;C1286;both;7 - Terça-feir;13;45
Kalami Kafenion;07/01/2014 13:24;L4034;C5407;both;7 - Terça-feir;13;12
Abila Zacharo;07/01/2014 13:25;L6267;C6899;credit;7 - Terça-feir;13;82
Ouzeri Elian;07/01/2014 13:29;L9637;C2142;both;7 - Terça-feir;13;29
Gelatogalore;07/01/2014 13:30;L8012;C1310;credit;7 - Terça-feir;13;52
Ouzeri Elian;07/01/2014 13:32;L9406;C4948;both;7 - Terça-feir;13;28
Abila Zacharo;07/01/2014 13:33;L4164;C7688;credit;7 - Terça-feir;13;53
Gelatogalore;07/01/2014 13:33;L1682;C7253;both;7 - Terça-feir;13;34
Katerina’s Café;07/01/2014 13:33;L6119;C7889;both;7 - Terça-feir;13;22
Guy's Gyros;07/01/2014 13:33;L8148;C6816;both;7 - Terça-feir;13;11
Kalami Kafenion;07/01/2014 13:33;L8566;C4795;both;7 - Terça-feir;13;18
Ouzeri Elian;07/01/2014 13:34;L3366;C6895;credit;7 - Terça-feir;13;65
Gelatogalore;07/01/2014 13:35;L6886;C2463;both;7 - Terça-feir;13;9
Gelatogalore;07/01/2014 13:37;L5777;C9551;both;7 - Terça-feir;13;22
Gelatogalore;07/01/2014 13:39;L3259;C9405;both;7 - Terça-feir;13;17
Katerina’s Café;07/01/2014 13:41;L2490;C3484;credit;7 - Terça-feir;13;51
Abila Zacharo;07/01/2014 13:41;L7291;C9683;both;7 - Terça-feir;13;18
Ouzeri Elian;07/01/2014 13:42;L2247;C5368;credit;7 - Terça-feir;13;98
Abila Zacharo;07/01/2014 13:44;L9018;C2418;both;7 - Terça-feir;13;32
Kalami Kafenion;07/01/2014 13:45;L3014;C1877;both;7 - Terça-feir;13;23
Guy's Gyros;07/01/2014 13:46;L3191;C9635;both;7 - Terça-feir;13;10
Kalami Kafenion;07/01/2014 13:46;L6544;C7108;both;7 - Terça-feir;13;22
Gelatogalore;07/01/2014 13:49;L1107;C2681;both;7 - Terça-feir;13;37
Ouzeri Elian;07/01/2014 13:50;L6110;C8411;both;7 - Terça-feir;13;22
Gelatogalore;07/01/2014 13:52;L4424;C1874;credit;7 - Terça-feir;13;72
Hippokampos;07/01/2014 13:53;L1485;C3853;credit;7 - Terça-feir;13;52
Gelatogalore;07/01/2014 13:54;L3295;C5921;credit;7 - Terça-feir;13;89
Abila Zacharo;07/01/2014 13:55;L5259;C7819;credit;7 - Terça-feir;13;66
Ouzeri Elian;07/01/2014 13:56;L4149;C1321;credit;7 - Terça-feir;13;16
Katerina’s Café;07/01/2014 13:57;L2343;C8202;both;7 - Terça-feir;13;37
Gelatogalore;07/01/2014 13:57;L6267;C6899;both;7 - Terça-feir;13;15
Hippokampos;07/01/2014 14:00;L7814;C3492;credit;7 - Terça-feir;14;76
Katerina’s Café;07/01/2014 14:07;L2169;C4434;both;7 - Terça-feir;14;11
Guy's Gyros;07/01/2014 14:09;L5553;C9617;both;7 - Terça-feir;14;13
Ouzeri Elian;07/01/2014 14:09;L9363;C6901;credit;7 - Terça-feir;14;60
Hippokampos;07/01/2014 14:11;L8328;C8129;both;7 - Terça-feir;14;38
Abila Scrapyard;07/01/2014 14:16;L3317;C2276;both;7 - Terça-feir;14;2149
Kronos Pipe and Irrigation;07/01/2014 14:19;L8477;C4530;both;7 - Terça-feir;14;3921
Carlyle Chemical Inc.;07/01/2014 14:34;L5756;C7792;credit;7 - Terça-feir;14;4803
Stewart and Sons Fabrication;07/01/2014 15:03;L3317;C2276;credit;7 - Terça-feir;15;962
Maximum Iron and Steel;07/01/2014 15:20;L8477;C4530;both;7 - Terça-feir;15;3207
Abila Airport;07/01/2014 15:41;L2769;C8642;both;7 - Terça-feir;15;3411
Nationwide Refinery;07/01/2014 16:24;L3317;C2276;both;7 - Terça-feir;16;890
Guy's Gyros;07/01/2014 19:45;L5259;C7819;both;7 - Terça-feir;19;15
Guy's Gyros;07/01/2014 19:48;L2490;C3484;both;7 - Terça-feir;19;31
Hippokampos;07/01/2014 20:01;L3014;C1877;both;7 - Terça-feir;20;20
Hippokampos;07/01/2014 20:02;L7783;C1415;both;7 - Terça-feir;20;12
Albert's Fine Clothing;07/01/2014 20:04;L3366;C6895;credit;7 - Terça-feir;20;308
Katerina’s Café;07/01/2014 20:09;L1682;C7253;both;7 - Terça-feir;20;19
Albert's Fine Clothing;07/01/2014 20:10;L6417;C7117;both;7 - Terça-feir;20;79
Guy's Gyros;07/01/2014 20:10;L3800;C7384;credit;7 - Terça-feir;20;42
Guy's Gyros;07/01/2014 20:10;L8566;C4795;credit;7 - Terça-feir;20;27
Katerina’s Café;07/01/2014 20:11;L9637;C2142;both;7 - Terça-feir;20;10
Guy's Gyros;07/01/2014 20:11;L7291;C9683;credit;7 - Terça-feir;20;77
Katerina’s Café;07/01/2014 20:12;L4424;C1874;credit;7 - Terça-feir;20;56
Katerina’s Café;07/01/2014 20:13;L6119;C7889;credit;7 - Terça-feir;20;95
Katerina’s Café;07/01/2014 20:13;L2343;C8202;credit;7 - Terça-feir;20;65
Guy's Gyros;07/01/2014 20:14;L1485;C3853;credit;7 - Terça-feir;20;62
Ouzeri Elian;07/01/2014 20:15;L3288;C1286;both;7 - Terça-feir;20;11
Katerina’s Café;07/01/2014 20:18;L6110;C8411;both;7 - Terça-feir;20;32
Guy's Gyros;07/01/2014 20:19;L9254;C7354;credit;7 - Terça-feir;20;90
Frydos Autosupply n' More;07/01/2014 20:20;L9363;C6901;credit;7 - Terça-feir;20;313
Katerina’s Café;07/01/2014 20:32;L3295;C5921;both;7 - Terça-feir;20;20
Katerina’s Café;07/01/2014 20:33;L5553;C9617;both;7 - Terça-feir;20;17
Katerina’s Café;07/01/2014 20:33;L6267;C6899;both;7 - Terça-feir;20;26
Hippokampos;07/01/2014 20:34;L4149;C1321;credit;7 - Terça-feir;20;70
Guy's Gyros;07/01/2014 20:34;L2247;C5368;both;7 - Terça-feir;20;23
Katerina’s Café;07/01/2014 20:47;L7814;C3492;both;7 - Terça-feir;20;33
Ouzeri Elian;07/01/2014 20:49;L1107;C2681;both;7 - Terça-feir;20;21
Hippokampos;07/01/2014 20:51;L5224;C8156;credit;7 - Terça-feir;20;33
Katerina’s Café;07/01/2014 21:01;L3259;C9405;both;7 - Terça-feir;21;33
Hippokampos;07/01/2014 21:03;L5947;C2540;both;7 - Terça-feir;21;21
Hippokampos;07/01/2014 21:17;L6886;C2463;both;7 - Terça-feir;21;38
Katerina’s Café;07/01/2014 21:19;L8012;C1310;both;7 - Terça-feir;21;18
Hippokampos;07/01/2014 21:21;L4164;C7688;credit;7 - Terça-feir;21;36
Hippokampos;07/01/2014 21:51;L2070;C8332;both;7 - Terça-feir;21;22
Brew've Been Served;08/01/2014 07:31;L9254;C7354;both;8 - Quarta-feira;7;16
Hallowed Grounds;08/01/2014 07:39;L6544;C7108;credit;8 - Quarta-feira;7;12
Hallowed Grounds;08/01/2014 07:39;L4424;C1874;both;8 - Quarta-feira;7;8
Hallowed Grounds;08/01/2014 07:39;L8012;C1310;credit;8 - Quarta-feira;7;8
Hallowed Grounds;08/01/2014 07:40;L8328;C8129;both;8 - Quarta-feira;7;6
Brew've Been Served;08/01/2014 07:42;L9406;C4948;both;8 - Quarta-feira;7;3
Hallowed Grounds;08/01/2014 07:43;L5553;C9617;both;8 - Quarta-feira;7;3
Hallowed Grounds;08/01/2014 07:47;L7814;C3492;both;8 - Quarta-feira;7;3
Brew've Been Served;08/01/2014 07:48;L1485;C3853;credit;8 - Quarta-feira;7;33
Brew've Been Served;08/01/2014 07:48;L8148;C6816;both;8 - Quarta-feira;7;8
Brew've Been Served;08/01/2014 07:48;L7291;C9683;both;8 - Quarta-feira;7;19
Brew've Been Served;08/01/2014 07:50;L3259;C9405;credit;8 - Quarta-feira;7;34
Hallowed Grounds;08/01/2014 07:50;L1107;C2681;both;8 - Quarta-feira;7;4
Coffee Cameleon;08/01/2014 07:51;L1682;C7253;both;8 - Quarta-feira;7;7
Coffee Cameleon;08/01/2014 07:52;L3295;C5921;both;8 - Quarta-feira;7;12
Hallowed Grounds;08/01/2014 07:55;L6119;C7889;credit;8 - Quarta-feira;7;80
Brew've Been Served;08/01/2014 07:55;L2490;C3484;credit;8 - Quarta-feira;7;92
Hallowed Grounds;08/01/2014 07:56;L5777;C9551;credit;8 - Quarta-feira;7;13
Brew've Been Served;08/01/2014 07:57;L2247;C5368;credit;8 - Quarta-feira;7;75
Hallowed Grounds;08/01/2014 07:57;L6267;C6899;both;8 - Quarta-feira;7;12
Brew've Been Served;08/01/2014 07:58;L4034;C5407;both;8 - Quarta-feira;7;8
Coffee Cameleon;08/01/2014 07:59;L9637;C2142;both;8 - Quarta-feira;7;16
Brew've Been Served;08/01/2014 08:00;L8566;C4795;credit;8 - Quarta-feira;8;32
Brew've Been Served;08/01/2014 08:01;L2343;C8202;both;8 - Quarta-feira;8;4
Brew've Been Served;08/01/2014 08:01;L5259;C7819;both;8 - Quarta-feira;8;17
Brew've Been Served;08/01/2014 08:01;L3800;C7384;both;8 - Quarta-feira;8;3
Brew've Been Served;08/01/2014 08:03;L9363;C6901;both;8 - Quarta-feira;8;10
Brew've Been Served;08/01/2014 08:09;L6110;C8411;both;8 - Quarta-feira;8;11
Brew've Been Served;08/01/2014 08:16;L3288;C1286;both;8 - Quarta-feira;8;7
Brew've Been Served;08/01/2014 08:18;L2169;C4434;both;8 - Quarta-feira;8;6
Coffee Cameleon;08/01/2014 08:22;L9018;C2418;both;8 - Quarta-feira;8;16
Carlyle Chemical Inc.;08/01/2014 09:43;L5756;C7792;credit;8 - Quarta-feira;9;3048
Nationwide Refinery;08/01/2014 09:54;L5485;C9152;both;8 - Quarta-feira;9;4513
Nationwide Refinery;08/01/2014 10:14;L9633;C9735;both;8 - Quarta-feira;10;3674
Stewart and Sons Fabrication;08/01/2014 11:28;L5485;C9152;both;8 - Quarta-feira;11;1738
Stewart and Sons Fabrication;08/01/2014 11:58;L9633;C9735;both;8 - Quarta-feira;11;1674
Coffee Shack;08/01/2014 12:00;L6417;C7117;both;8 - Quarta-feira;12;13
Bean There Done That;08/01/2014 12:00;L7783;C1415;both;8 - Quarta-feira;12;17
Bean There Done That;08/01/2014 12:00;L3191;C9635;both;8 - Quarta-feira;12;12
Brewed Awakenings;08/01/2014 12:00;L4164;C7688;both;8 - Quarta-feira;12;12
Jack's Magical Beans;08/01/2014 12:00;L6267;C6899;both;8 - Quarta-feira;12;4
Brewed Awakenings;08/01/2014 12:00;L5947;C2540;both;8 - Quarta-feira;12;12
Bean There Done That;08/01/2014 12:00;L3014;C1877;credit;8 - Quarta-feira;12;8
Brewed Awakenings;08/01/2014 12:00;L2070;C8332;credit;8 - Quarta-feira;12;15
Bean There Done That;08/01/2014 12:00;L4149;C1321;credit;8 - Quarta-feira;12;95
Jack's Magical Beans;08/01/2014 12:00;L3288;C1286;both;8 - Quarta-feira;12;19
Jack's Magical Beans;08/01/2014 12:00;L5224;C8156;both;8 - Quarta-feira;12;12
Jack's Magical Beans;08/01/2014 12:00;L6886;C2463;credit;8 - Quarta-feira;12;31
Frank's Fuel;08/01/2014 12:29;L1485;C3853;both;8 - Quarta-feira;12;65
